"Local Authority","code_la","2014","2015","2016","2017"
"Babergh","E07000200",88845,88990,89237,89549
"Basildon","E07000066",180521,181859,183308,184789
"Bedford","E06000055",163924,166167,168303,170394
"Braintree","E07000067",149985,150947,151970,153030
"Breckland","E07000143",133986,134887,135832,136783
"Brentwood","E07000068",75645,76169,76749,77357
"Broadland","E07000144",125961,126339,126839,127384
"Broxbourne","E07000095",95748,96436,97151,97893
"Cambridge","E07000008",128515,130132,131234,132206
"Castle Point","E07000069",88907,89080,89338,89616
"Central Bedfordshire","E06000056",269076,273191,277271,281305
"Chelmsford","E07000070",171633,172756,173908,175112
"Colchester","E07000071",180420,182855,185050,187123
"Dacorum","E07000096",149741,151170,152675,154177
"East Cambridgeshire","E07000009",86685,87746,88791,89807
"East Hertfordshire","E07000242",143021,144384,145873,147382
"Epping Forest","E07000072",128777,129964,131253,132578
"Fenland","E07000010",97732,98507,99258,99984
"Forest Heath","E07000201",62812,63696,64580,65433
"Great Yarmouth","E07000145",98172,98490,98852,99225
"Harlow","E07000073",84564,85353,86135,86917
"Hertsmere","E07000098",102427,103252,104164,105147
"Huntingdonshire","E07000011",173605,175079,176588,178112
"Ipswich","E07000202",134966,135752,136489,137211
"King`s Lynn and West Norfolk","E07000146",150026,150749,151526,152313
"Luton","E06000032",210962,214619,217753,220636
"Maldon","E07000074",62767,62966,63212,63477
"Mid Suffolk","E07000203",99121,99695,100332,100978
"North Hertfordshire","E07000099",131046,132219,133552,134948
"North Norfolk","E07000147",102867,103285,103793,104330
"Norwich","E07000148",137472,139200,140552,141767
"Peterborough","E06000031",190461,192880,195071,197182
"Rochford","E07000075",84776,85037,85355,85690
"South Cambridgeshire","E07000012",153281,155209,157137,159039
"South Norfolk","E07000149",129226,130795,132420,134082
"Southend-on-Sea","E06000033",177931,179210,180589,182046
"St Albans","E07000240",144834,146152,147643,149178
"St Edmundsbury","E07000204",112073,112442,112858,113276
"Stevenage","E07000243",85997,86675,87383,88090
"Suffolk Coastal","E07000205",124776,124846,125021,125249
"Tendring","E07000076",139916,140447,141153,141929
"Three Rivers","E07000102",90423,91168,91962,92790
"Thurrock","E06000034",163270,165062,166895,168757
"Uttlesford","E07000077",84042,85256,86522,87776
"Watford","E07000103",95505,97067,98570,100035
"Waveney","E07000206",115919,116073,116318,116600
"Welwyn Hatfield","E07000241",116024,117881,119553,121129
"Amber Valley","E07000032",123942,124382,124907,125471
"Ashfield","E07000170",122508,123302,124190,125100
"Bassetlaw","E07000171",114143,114392,114703,115029
"Blaby","E07000129",95851,96367,96974,97610
"Bolsover","E07000033",77155,77459,77813,78175
"Boston","E07000136",66458,67264,67930,68513
"Broxtowe","E07000172",111780,112598,113388,114145
"Charnwood","E07000130",173545,176003,178255,180286
"Chesterfield","E07000034",104288,104378,104559,104776
"Corby","E07000150",65434,66643,67806,68957
"Daventry","E07000151",79036,79371,79781,80194
"Derby","E06000015",252463,254556,256493,258341
"Derbyshire Dales","E07000035",71281,71278,71360,71441
"East Lindsey","E07000137",137623,137982,138472,138955
"East Northamptonshire","E07000152",88872,89323,89859,90401
"Erewash","E07000036",114048,114538,115136,115750
"Gedling","E07000173",115638,116319,117083,117849
"Harborough","E07000131",88008,88626,89314,90026
"High Peak","E07000037",91364,91514,91705,91888
"Hinckley and Bosworth","E07000132",107722,108392,109141,109898
"Kettering","E07000153",96945,97852,98773,99709
"Leicester","E06000016",337653,342326,346104,349509
"Lincoln","E07000138",96202,96786,97412,97907
"Mansfield","E07000174",105893,106183,106517,106860
"Melton","E07000133",50969,51217,51494,51772
"Newark and Sherwood","E07000175",117758,118467,119231,120009
"North East Derbyshire","E07000038",99352,99488,99707,99958
"North Kesteven","E07000139",111046,111850,112670,113518
"North West Leicestershire","E07000134",95882,96367,96899,97451
"Northampton","E07000154",219495,222352,224911,227339
"Nottingham","E06000018",314268,317516,320056,322215
"Oadby and Wigston","E07000135",55928,55708,55752,55851
"Rushcliffe","E07000176",113670,114532,115439,116375
"Rutland","E06000017",38022,37935,37966,38000
"South Derbyshire","E07000039",98374,99344,100325,101296
"South Holland","E07000140",90419,91179,91907,92632
"South Kesteven","E07000141",137981,139013,140140,141276
"South Northamptonshire","E07000155",88164,88715,89334,89979
"Wellingborough","E07000156",76446,76872,77304,77746
"West Lindsey","E07000142",91787,92297,92876,93481
"Barking and Dagenham","E09000002",198294,202753,206934,211002
"Barnet","E09000003",374915,382031,388416,394497
"Bexley","E09000004",239865,242474,245181,247906
"Brent","E09000005",320762,326343,330770,334776
"Bromley","E09000006",321278,324954,328715,332583
"Camden","E09000007",234846,242732,248472,253276
"City of London","E09000001",8072,8437,8672,8855
"Croydon","E09000008",376040,380940,385670,390376
"Ealing","E09000009",342118,346076,349200,352076
"Enfield","E09000010",324574,329574,334279,338897
"Greenwich","E09000011",268678,273749,278259,282566
"Hackney","E09000012",263150,268621,273506,278150
"Hammersmith and Fulham","E09000013",178365,180480,182005,183361
"Haringey","E09000014",267541,272248,276044,279519
"Harrow","E09000015",246011,249147,251960,254665
"Havering","E09000016",245974,248644,251513,254480
"Hillingdon","E09000017",292690,298789,304218,309314
"Hounslow","E09000018",265568,270728,275083,279131
"Islington","E09000019",221030,227321,232196,236432
"Kensington and Chelsea","E09000020",156190,157383,158011,158482
"Kingston upon Thames","E09000021",169958,173687,176952,179972
"Lambeth","E09000022",318216,323685,328076,332031
"Lewisham","E09000023",291933,296982,301541,305945
"Merton","E09000024",203515,206332,208816,211187
"Newham","E09000025",324322,333582,340736,347068
"Redbridge","E09000026",293055,298505,303570,308554
"Richmond upon Thames","E09000027",193585,196729,199715,202579
"Southwark","E09000028",302538,309178,314575,319426
"Sutton","E09000029",198134,200571,203067,205581
"Tower Hamlets","E09000030",284015,294906,303891,312019
"Waltham Forest","E09000031",268020,272112,275578,278818
"Wandsworth","E09000032",312145,316789,320598,324075
"Westminster","E09000033",233292,240886,246149,250414
"County Durham","E06000047",517773,519942,522218,524425
"Darlington","E06000005",105367,105406,105503,105604
"Gateshead","E08000037",200505,200796,201221,201655
"Hartlepool","E06000001",92590,92717,92899,93102
"Middlesbrough","E06000002",139119,139779,140351,140860
"Newcastle upon Tyne","E08000021",289835,293028,295390,297348
"North Tyneside","E08000022",202744,203498,204399,205329
"Northumberland","E06000057",315987,316013,316287,316618
"Redcar and Cleveland","E06000003",135042,134863,134796,134763
"South Tyneside","E08000023",148740,148910,149163,149452
"Stockton-on-Tees","E06000004",194119,195005,195952,196913
"Sunderland","E08000024",276889,277406,277946,278466
"Allerdale","E07000026",96471,96358,96303,96278
"Barrow-in-Furness","E07000027",67648,67264,66933,66620
"Blackburn with Darwen","E06000008",146743,146559,146426,146324
"Blackpool","E06000009",140501,140122,139829,139612
"Bolton","E08000001",280439,281674,282916,284167
"Burnley","E07000117",87291,87251,87250,87253
"Bury","E08000002",187474,188360,189328,190304
"Carlisle","E07000028",108022,108148,108315,108491
"Cheshire East","E06000049",374179,375404,376809,378233
"Cheshire West and Chester","E06000050",332210,332996,333846,334666
"Chorley","E07000118",111607,112701,113832,114961
"Copeland","E07000029",69832,69576,69371,69189
"Eden","E07000030",52630,52606,52596,52604
"Fylde","E07000119",77042,77309,77639,77971
"Halton","E06000006",126354,126560,126822,127098
"Hyndburn","E07000120",80208,80033,79906,79805
"Knowsley","E08000011",146407,146421,146546,146711
"Lancaster","E07000121",141277,142191,143073,143855
"Liverpool","E08000012",473073,476146,478793,481215
"Manchester","E08000003",520215,528374,534938,540776
"Oldham","E08000004",228765,229708,230686,231715
"Pendle","E07000122",89840,89988,90138,90290
"Preston","E07000123",140452,140962,141349,141646
"Ribble Valley","E07000124",58091,58211,58357,58526
"Rochdale","E08000005",212962,213335,213785,214276
"Rossendale","E07000125",69168,69414,69717,70033
"Salford","E08000006",242040,245094,247929,250616
"Sefton","E08000014",273531,273463,273579,273778
"South Lakeland","E07000031",103271,103092,103007,102955
"South Ribble","E07000126",109077,109139,109264,109423
"St. Helens","E08000013",177188,177652,178226,178825
"Stockport","E08000007",286755,287931,289289,290738
