"location.id","location.region","date","jsa.fem"
"1-125058834","East of England","2010-10-01",55
"1-125058834","East of England","2010-12-21",55
"1-125058834","East of England",NA,55
"1-125058834","East of England",NA,55
"1-118532985","East of England","2010-10-01",40
"1-118532985","East of England","2011-01-06",40
"1-118532985","East of England",NA,40
"1-118532985","East of England",NA,40
"1-356335235","East of England","2012-01-03",35
"1-356335235","East of England","2012-01-03",35
"1-356335235","East of England",NA,35
"1-356335235","East of England",NA,35
"1-133435962","East of England","2010-10-01",55
"1-133435962","East of England","2010-11-25",55
"1-133435962","East of England",NA,55
"1-133435962","East of England",NA,55
"1-1066052292","East of England","2010-10-01",55
"1-1066052292","East of England","2013-11-26",55
"1-1066052292","East of England",NA,55
"1-1066052292","East of England",NA,55
"1-125082025","East of England","2010-10-01",50
"1-125082025","East of England","2011-01-11",50
"1-125082025","East of England",NA,50
"1-125082025","East of England",NA,50
"1-127515028","East of England","2010-10-01",40
"1-127515028","East of England","2010-11-16",40
"1-127515028","East of England",NA,40
"1-127515028","East of England",NA,40
"1-135959912","East of England","2010-10-01",95
"1-135959912","East of England","2010-12-16",95
"1-135959912","East of England",NA,95
"1-135959912","East of England",NA,95
"1-1138021970","East of England","2012-05-18",85
"1-1138021970","East of England","2013-12-27",85
"1-1138021970","East of England",NA,85
"1-1138021970","East of England",NA,85
"1-439510001","East of England","2012-05-18",115
"1-439510001","East of England","2012-07-19",115
"1-439510001","East of England",NA,115
"1-439510001","East of England",NA,115
"1-326970391","East of England","2011-10-28",15
"1-326970391","East of England","2011-10-28",15
"1-326970391","East of England",NA,15
"1-326970391","East of England",NA,15
"1-110246355","East of England","2010-10-01",15
"1-110246355","East of England","2011-01-18",15
"1-110246355","East of England",NA,15
"1-110246355","East of England",NA,15
"1-135467353","East of England","2010-10-01",30
"1-135467353","East of England","2011-01-11",30
"1-135467353","East of England","2016-01-25",30
"1-135467353","East of England","2016-01-25",30
"1-129459847","East of England","2010-10-01",10
"1-129459847","East of England","2010-12-20",10
"1-129459847","East of England",NA,10
"1-129459847","East of England",NA,10
"1-114979849","East of England","2010-10-01",10
"1-114979849","East of England","2011-01-17",10
"1-114979849","East of England",NA,10
"1-114979849","East of England",NA,10
"1-114980482","East of England","2010-10-01",10
"1-114980482","East of England","2011-01-10",10
"1-114980482","East of England",NA,10
"1-114980482","East of England",NA,10
"1-113810149","East of England","2010-10-01",20
"1-113810149","East of England","2010-12-23",20
"1-113810149","East of England",NA,20
"1-113810149","East of England",NA,20
"1-113810134","East of England","2010-10-01",20
"1-113810134","East of England","2010-12-23",20
"1-113810134","East of England",NA,20
"1-113810134","East of England",NA,20
"1-111320595","East of England","2010-10-01",20
"1-111320595","East of England","2010-12-09",20
"1-111320595","East of England",NA,20
"1-111320595","East of England",NA,20
"1-118542230","East of England","2010-10-01",25
"1-118542230","East of England","2011-01-06",25
"1-118542230","East of England",NA,25
"1-118542230","East of England",NA,25
"1-144683095","East of England","2010-10-01",30
"1-144683095","East of England","2010-12-06",30
"1-144683095","East of England","2012-02-08",30
"1-144683095","East of England","2012-02-22",30
"1-353903408","East of England","2012-01-04",45
"1-353903408","East of England","2012-01-04",45
"1-353903408","East of England","2015-09-03",45
"1-353903408","East of England",NA,45
"1-123018026","East of England","2010-10-01",10
"1-123018026","East of England","2010-12-06",10
"1-123018026","East of England",NA,10
"1-123018026","East of England",NA,10
"1-111656988","East of England","2010-10-01",25
"1-111656988","East of England","2010-12-02",25
"1-111656988","East of England","2013-04-25",25
"1-111656988","East of England","2013-04-25",25
"1-674260911","East of England","2013-03-28",35
"1-674260911","East of England","2013-03-28",35
"1-674260911","East of England",NA,35
"1-674260911","East of England",NA,35
"1-124120239","East of England","2010-10-01",70
"1-124120239","East of England","2010-12-30",70
"1-124120239","East of England",NA,70
"1-124120239","East of England",NA,70
"1-120671520","East of England","2010-10-01",10
"1-120671520","East of England","2011-05-06",10
"1-120671520","East of England",NA,10
"1-120671520","East of England",NA,10
"1-108792325","East of England","2010-12-02",20
"1-108792325","East of England","2010-12-02",20
"1-108792325","East of England",NA,20
"1-108792325","East of England",NA,20
"1-929597452","East of England","2013-09-19",30
"1-929597452","East of England","2013-09-19",30
"1-929597452","East of England",NA,30
"1-929597452","East of England",NA,30
"1-108962966","East of England","2010-10-01",20
"1-108962966","East of England","2011-01-10",20
"1-108962966","East of England",NA,20
"1-108962966","East of England",NA,20
"1-108954513","East of England","2010-10-01",40
"1-108954513","East of England","2011-04-19",40
"1-108954513","East of England","2016-08-25",40
