"Local Authority","oslaua","All Ages","Aged 65-69","Aged 70-74","Aged 75-79","Aged 80-84","Aged 85+"
"Babergh","E07000200",88845,6947,5045,3907,2856,2961
"Basildon","E07000066",180521,9808,6816,5850,4493,3844
"Bedford","E06000055",163924,8600,6223,5177,4000,3910
"Braintree","E07000067",149985,9443,6461,4864,3561,3886
"Breckland","E07000143",133986,9917,7249,5977,4358,4225
"Brentwood","E07000068",75645,4464,3174,2902,2368,2361
"Broadland","E07000144",125961,9580,6988,5870,4361,4315
"Broxbourne","E07000095",95748,5102,3744,3320,2519,2114
"Cambridge","E07000008",128515,4501,3243,2814,2256,2799
"Castle Point","E07000069",88907,7011,5092,4138,2858,2455
"Central Bedfordshire","E06000056",269076,15230,10830,8544,5909,5201
"Chelmsford","E07000070",171633,10301,7026,5979,4430,4157
"Colchester","E07000071",180420,10131,7054,5551,4154,4024
"Dacorum","E07000096",149741,7597,5236,4590,3750,3717
"East Cambridgeshire","E07000009",86685,5279,3804,2895,2174,2208
"East Hertfordshire","E07000242",143021,7752,5436,4518,3450,3070
"Epping Forest","E07000072",128777,7705,5384,4537,3651,3695
"Fenland","E07000010",97732,6641,4795,4049,3017,2858
"Forest Heath","E07000201",62812,3470,2439,2029,1477,1455
"Great Yarmouth","E07000145",98172,7131,5413,3976,3028,2969
"Harlow","E07000073",84564,3675,2746,2549,2207,1829
"Hertsmere","E07000098",102427,5295,3927,3271,2607,2973
"Huntingdonshire","E07000011",173605,10864,7596,5745,3909,3846
"Ipswich","E07000202",134966,6498,4449,4032,3070,3381
"King`s Lynn and West Norfolk","E07000146",150026,11343,8663,7048,5179,4896
"Luton","E06000032",210962,7367,5695,5427,3768,3236
"Maldon","E07000074",62767,5034,3420,2642,1803,1604
"Mid Suffolk","E07000203",99121,7425,5334,4068,2866,2822
"North Hertfordshire","E07000099",131046,7162,5324,4452,3498,3397
"North Norfolk","E07000147",102867,9589,7315,6056,4644,4499
"Norwich","E07000148",137472,5982,4359,3645,2995,3339
"Peterborough","E06000031",190461,8487,6032,5059,3981,3705
"Rochford","E07000075",84776,6044,4257,3601,2653,2359
"South Cambridgeshire","E07000012",153281,9119,6375,5130,3752,3870
"South Norfolk","E07000149",129226,9603,7072,5631,4078,3946
"Southend-on-Sea","E06000033",177931,10182,7288,6030,4690,5386
"St Albans","E07000240",144834,7054,5153,4447,3497,3612
"St Edmundsbury","E07000204",112073,7430,5503,4451,3077,3263
"Stevenage","E07000243",85997,3826,2809,2541,1983,1807
"Suffolk Coastal","E07000205",124776,9930,7255,5983,4567,4708
"Tendring","E07000076",139916,12240,9389,7685,5621,5767
"Three Rivers","E07000102",90423,4826,3484,3086,2359,2409
"Thurrock","E06000034",163270,7633,5088,3985,2877,2766
"Uttlesford","E07000077",84042,5123,3667,2747,2079,2169
"Watford","E07000103",95505,3614,2653,2323,1787,1754
"Waveney","E07000206",115919,9184,6770,5616,4238,4323
"Welwyn Hatfield","E07000241",116024,5073,3859,3553,2907,3006
"Amber Valley","E07000032",123942,8653,6164,4536,3206,3296
"Ashfield","E07000170",122508,7237,5759,4228,2788,2543
"Bassetlaw","E07000171",114143,7726,5608,4305,3023,2791
"Blaby","E07000129",95851,5976,4370,3573,2603,2351
